id,subject,marks_col,question_source,question_text,red_score,red_score_raw,full_marks_on_page,status,gold_score,token_score,matched,full_marks,full_marks_source,full_marks_reliable,gold_usable,score_rubric,transcription_rubric,confidence_rubric,reasoning_rubric,score_solution,transcription_solution,confidence_solution,reasoning_solution
994080720760,Bangla,,BN_UNICODE,"নিচের শãগুলোর বিপরীতার্থক শã লেখ: মূর্ত, প্রাচীন, ক্ষয়িòু, তীব্র, নিগ্রহ",,,,NO_REDMARK,,,,2.5,rubric,True,False,0.0,,1.0,বিপরীত শব্দ: মূর্ত: 0.0/0.5 No answer provided by the student. | বিপরীত শব্দ: প্রাচীন: 0.0/0.5 No answer provided by the student. | বিপরীত শব্দ: ক্ষয়িòু: 0.0/0.5 No answer provided by the student. | বিপরীত শব্দ: তীব্র: 0.0/0.5 No answer provided by the student. | বিপরীত শব্দ: নিগ্রহ: 0.0/0.5 No answer provided by the student.,0.0,,1.0,মূর্ত: 0/0.5 No answer provided. | প্রাচীন: 0/0.5 No answer provided. | ক্ষয়িòু: 0/0.5 No answer provided. | তীব্র: 0/0.5 No answer provided. | নিগ্রহ: 0/0.5 No answer provided.
754323170721,Bangla,,BN_UNICODE,বাক্য কাকে বলে? গঠন অনুসারে বাক্যের শ্রেণিবিভাগ আলোচনা কর।,,,,NO_REDMARK,,,,10.0,rubric,True,False,0.0,,1.0,বাক্য কাকে বলে লেখার জন্য: 0.0/1.0 No answer was provided for this part of the question. | গঠন অনুসারে ১ টি শ্রেণিবিভাগ সংÁা ও উদাহরণসহ লেখার জন্য: 0.0/2.0 No answer was provided for this part of the question. | গঠন অনুসারে ২ টি শ্রেণিবিভাগ সংÁা ও উদাহরণসহ লেখার জন্য: 0.0/3.0 No answer was provided for this part of the question. | গঠন অনুসারে ৩ টি শ্রেণিবিভাগ সংÁা ও উদাহরণসহ লেখার জন্য: 0.0/4.0 No answer was provided for this part of the question.,0.0,,1.0,Definition of a sentence: 0.0/3.0 No answer provided. | Classification of sentences based on structure (listing types): 0.0/1.0 No answer provided. | Explanation of Simple Sentence (সরল বাক্য): 0.0/2.0 No answer provided. | Explanation of Complex Sentence (জটিল বাক্য): 0.0/2.0 No answer provided. | Explanation of Compound Sentence (যৌগিক বাক্য): 0.0/2.0 No answer provided.
476536117705,Bangla,,BN_UNICODE,"সারমর্ম লেখ: বহুদিন ধরে বহু ক্রোশ দূরে বহু ব্যয় করি বহু দেশ ঘুরে দেখিতে গিয়াছি পর্বতমালা, দেখিতে গিয়াছি সিন্ধু। দেখা হয় নাই চক্ষু মেলিয়া ঘর হতে শুধু দুই পা ফেলিয়া একটি ধানের শিষের উপরে একটি শিশির বিন্দু।",,,,NO_REDMARK,,,,2.5,rubric,True,False,0.0,,1.0,প্রচুর অর্থ ও সময় খরচ করে এবং যথেষ্ট কষ্ট করে মানুষ দূরদূরান্েতর সেৌন্দর্য উপভোগ করতে ছুটে যায় - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ১.৫ নম্বর।: 0/1.5 No answer provided by the student. | কিন্তু ঘরের কাছের অনুপম সেৌন্দর্যটুকু লক্ষ না করলে সেৌন্দর্য উপভোগের বিষয়টি কখনোই পূর্ণতা পায় না - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০১ নম্বর।: 0/1 No answer provided by the student.,0.0,,1.0,Content and understanding of the poem's essence: 0.0/2.0 The student did not provide any answer. | Clarity and conciseness of expression (language and grammar): 0.0/0.5 The student did not provide any answer.
413850273393,Bangla,,BN_UNICODE,"নিচের শãগুলোর দুইটি করে সমার্থক শã লেখ: গগন, পিক, গৃহ, বসুন্ধরা , তটিনী",,,,NO_REDMARK,,,,3.25,rubric,True,False,0.0,,1.0,Synonyms for গগন: 0/0.5 No answer provided for this word. | Synonyms for পিক: 0/0.5 No answer provided for this word. | Synonyms for গৃহ: 0/0.5 No answer provided for this word. | Synonyms for বসুন্ধরা: 0/0.5 No answer provided for this word. | Synonyms for তটিনী: 0/0.5 No answer provided for this word.,0.0,,1.0,Synonyms for গগন: 0/0.65 No answer provided. | Synonyms for পিক: 0/0.65 No answer provided. | Synonyms for গৃহ: 0/0.65 No answer provided. | Synonyms for বসুন্ধরা: 0/0.65 No answer provided. | Synonyms for তটিনী: 0/0.65 No answer provided.
827616542831,Bangla,,BN_UNICODE,"Òউপসগর্ের অর্থবাচকতা নেই, কিন্তু অর্থদ্যোতকতা আছে।""- উদাহরণসহ উক্তিটি বিশ্লেষণ কর।",,,,NO_REDMARK,,,,5.0,rubric,True,False,0.0,,1.0,উপসর্গের সংÁা লেখার জন্য: 0.0/1.0 No answer provided by the student. | উপসর্গের অর্থবাচকতা নেই- বুঝানোর জন্য: 0.0/1.0 No answer provided by the student. | দুটি উপসর্গ উদাহরণসহ লেখার জন্য: 0.0/1.0 No answer provided by the student. | উপসর্গের অর্থদ্যোতনা আছে - বুঝানোর জন্য: 0.0/1.0 No answer provided by the student. | অর্থপূর্ণ উপসর্গযুক্ত দুটি শব্দ উদাহরণের জন্য: 0.0/1.0 No answer provided by the student.,0.0,,1.0,"Content and explanation of 'অর্থবাচকতা নেই, কিন্তু অর্থদ্যোতকতা আছে': 0.0/1.5 The answer sheet is blank; no content was provided to assess this criterion. | Provision of relevant examples: 0.0/1.5 The answer sheet is blank; no examples were provided. | Analysis of how prefixes change meaning: 0.0/1.0 The answer sheet is blank; no analysis was provided. | Overall structure, language, and coherence: 0.0/1.0 The answer sheet is blank; there is no content to evaluate for structure, language, or coherence."
389474867916,Bangla,,BN_UNICODE,"ভাব-সম্প্রসারণ কর: পথ পথিকের সৃষ্টি করে না, পথিকই পথের সৃষ্টি করে।",,,,NO_REDMARK,,,,4.0,rubric,True,False,0.0,,1.0,"মানবজীবন চআল, গতিময়। চলমানতা এর বৈশিষ্ট্য - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০.৫ নম্বর।: 0.0/0.5 The student did not provide any answer, so the ভাব (essence) of this part was not conveyed. | জীবনের উদ্দেশ্য সাধনের জন্য গতানুগতিক পথ পরিহার করে নতুন পথ ও পন্থা তার নিজেকেই তৈরি করে নিতে হয় - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০.৫ নম্বর।: 0.0/0.5 The student did not provide any answer, so the ভাব (essence) of this part was not conveyed. | সকল বাধা-বিঘ্ন অতিক্রম করে পথিক তার সৃষ্ট নতুন পথে এগিয়ে যায়। আর এভাবেই এগিয়ে চলার নেশায় অবিরাম চলতে গিয়ে পৃথিবীতে অসংখ্য পথ তৈরি হয়েছে; নিমর্িত হয়েছে মানবসভ্যতা - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০.৫ নম্বর।: 0.0/0.5 The student did not provide any answer, so the ভাব (essence) of this part was not conveyed. | মানুষ তার জীবন রক্ষা ও জীবন বিকাশের জন্য প্রয়োজন মতো পথ ও পন্থা তৈরি করতে বাধ্য হয়েছে - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০.৫ নম্বর।: 0.0/0.5 The student did not provide any answer, so the ভাব (essence) of this part was not conveyed. | যুগে যুগে অসংখ্য উদ্যমী মানুষ অসংখ্য পথ সৃষ্টি করে মানুষের জীবনকে করেছেন সহজতর - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০.৫ নম্বর।: 0.0/0.5 The student did not provide any answer, so the ভাব (essence) of this part was not conveyed. | Spelling deductions (0.5 for 2 errors, 1.0 for 3+ errors): 0.0/0.0 No text was provided, so no spelling errors could be assessed.",0.0,,1.0,"Content and understanding of the core idea: 0.0/2.0 No answer provided by the student. | Elaboration and depth of explanation: 0.0/1.0 No answer provided by the student. | Language, grammar, and vocabulary: 0.0/1.0 No answer provided by the student."
993629439125,Bangla,,BN_UNICODE,বাংলা একাডেমি প্রণীত প্রমিত বাংলা বানানের প্াচটি নিয়ম উদাহরণসহ লেখ।,,,,NO_REDMARK,,,,5.0,rubric,True,False,0.0,,1.0,Five correct rules of Bangla Academy's standardized Bangla spelling: 0.0/2.5 No rules were provided by the student. | Examples for five correct rules of Bangla Academy's standardized Bangla spelling: 0.0/2.5 No examples were provided by the student.,0.0,,1.0,Content (five rules with examples): 0.0/5.0 The student did not provide any answer to the question.
745744448664,Bangla,,BN_UNICODE,"সারাংশ ে লখ : নীরব ভাষায় বৃক্ষ আমা দে র সার্থ কতার গান ে গয়ে ে শানায় । অনুভূতির কান দিয়ে সে গান শুনতে হবে । তাহলে বুঝতে পারা যাবে জীবনের মানে বৃি দ্ধ, ধমর্ের মানেও তাই । প্রক … তির যে ধর্ম মানুষেরও সে ধর্ম। পার্থক ্য কেবল তরুলতা ও জীবজন্তুর উপর তা দে র নিজে দে র ে কান হাত ে নই , মানুষের বৃদ্ধির উপরে তার নিজের হাত রয়েছে । আর এখানেই মানুষের মর্যাদা । মানুষকে আত্মা সৃষ্টি করে নিতে হয়, তা তৈরি পাওয়া যায় না । সুখ -দ ুঃখ -ে বদনা উপলক্ষির ফলে অন্তরের যে পরিপকaতা , তাই ে তা আত্মা ।",,,,NO_REDMARK,,,,4.0,rubric,True,False,0.0,,1.0,জীবনের বৃদ্ধির দিক থেকে গাছ ও মানুষের মধে ্য মিল থ াকলেও অমিলও রয়েছে: 0.0/1.0 No answer provided by the student. | তরুলতা ও জীবজন্তু র বৃি দ্ধতে তা দে র নিজের ে কানো প্রভাব ে নই কিন্ তু মানুষ নিজের সৃজনশীলতা দিয়ে নিজেকে বৃি দ্ধ করতে পারে: 0.0/1.0 No answer provided by the student. | মানুষের নিজের ে চষ্টায় আত্মার সৃষ্টি ও বিকাশ সাধিত হয়: 0.0/0.5 No answer provided by the student. | Overall summary quality and adherence to length (remaining 1.5 marks): 0.0/1.5 No answer provided by the student.,0.0,,1.0,"Content and completeness of summary: 0.0/2.0 The student did not provide any answer for this question. | Accuracy and relevance to the original passage: 0.0/1.0 No answer was provided to assess accuracy. | Conciseness and adherence to summary format (approximately one-third of original length): 0.0/0.5 No answer was provided to assess conciseness. | Language, grammar, and spelling: 0.0/0.5 No answer was provided to assess language quality."
680909995289,Bangla,,BN_UNICODE,"নিচের উপসগ গুে লা দিয়ে দ ুÕটি করে শã গঠন কর: নি , প্র , আম, অনু, স",,,,NO_REDMARK,,,,3.25,rubric,True,False,0.0,,1.0,Words formed for prefix 'নি': 0/0.5 No words were provided for this prefix. | Words formed for prefix 'প্র': 0/0.5 No words were provided for this prefix. | Words formed for prefix 'আম': 0/0.5 No words were provided for this prefix. | Words formed for prefix 'অনু': 0/0.5 No words were provided for this prefix. | Words formed for prefix 'স': 0/0.5 No words were provided for this prefix.,0.0,,1.0,Words for 'নি': 0/0.65 No words provided for the prefix 'নি'. | Words for 'প্র': 0/0.65 No words provided for the prefix 'প্র'. | Words for 'আম': 0/0.65 No words provided for the prefix 'আম'. | Words for 'অনু': 0/0.65 No words provided for the prefix 'অনু'. | Words for 'স': 0/0.65 No words provided for the prefix 'স'.
480114976523,Bangla,,BN_UNICODE,অর্থ গতভাবে বাংলা ভাষার শãসমূহকে কয় ভাগে ভাগ করা যায় ? সংÁাসহ উদাহরণ ে লখ ।,,,,NO_REDMARK,,,,5.0,rubric,True,False,0.0,,1.0,তিন ভাগে ভাগ করা যায় লেখার জন্য: 0.0/0.5 The student did not write that the words are divided into three types. | তিনটি সংজ্ঞা লেখার জন্য: 0.0/3.0 The student did not provide any definitions for the types of words. | তিন প্রকারের উদাহরণ লেখার জন্য: 0.0/1.5 The student did not provide any examples for the types of words.,0.0,,1.0,Number of divisions: 0.0/1.0 No answer provided by the student. | Definition of যৌগিক শব্দ (Yogic words) with example: 0.0/1.5 No answer provided by the student. | Definition of রূঢ় বা রূঢ়ি শব্দ (Rudhi words) with example: 0.0/1.5 No answer provided by the student. | Definition of যোগরূঢ় শব্দ (Yogarurho words) with example: 0.0/1.0 No answer provided by the student.
