"task_id","exam_set","script_id","question_no","question_type","max_mark","model","provider","run_index","raw_context_content_data","raw_structure_format_brevity","raw_language_mechanics","raw_originality_comparisons_paraphrase","raw_total","context_content_data","structure_format_brevity","language_mechanics","originality_comparisons_paraphrase","total_score","capped_from","cap_applied","applied_cap_reason","performance_band","is_attempted","synthesised","context_content_data_rationale","structure_format_brevity_rationale","language_mechanics_rationale","originality_comparisons_paraphrase_rationale","context_content_data_evidence","structure_format_brevity_evidence","language_mechanics_evidence","originality_comparisons_paraphrase_evidence","evidence_not_found","frequent_errors","positive_aspects","feedback_summary","model_version","thinking_level","rubric_hash","prompt_hash","timestamp"
"DIALOG_001","SE_06_Q1","SE_06_Q1_0001","13","Dialogue","10","gemma","ai_studio","0","2","2","0.5","1.5","6","2","2","0.5","1.5","6","6","False","None","Band 3","True","False","The student addresses the prompt's core requirements by mentioning fever, headache, and body pain, and the doctor suggests a Covid-19 test. However, the conversation is disjointed because one of the doctor's turns is left blank, leaving the subsequent response without a prompt.","The student uses correct dialogue layout with speaker labels and alternating turns. There is an opening greeting, although the closing is abrupt. The blank turn is a significant structural flaw.","The script is characterized by pervasive spelling errors (e.g., 'Doeton' for Doctor, 'poblem' for problem, 'memdens' for members) and severe syntactic breakdowns that barely meet the Class VI standard.","The response is an authentic attempt with simple, original phrasing rather than a memorized guide template. The turns generally respond to the preceding context.","I have been suffering fever. Also I bad headache and running shases and pains all over body. ... Please, gekly covid-19 test.","Myself : May I come in, sir? Doeton : Yes, sit there on the chain","My father pains all oven bady.","May I come in, sir?","context_content_data;structure_format_brevity","Phonetic spelling errors;Broken sentence syntax;Incomplete dialogue turns","Adherence to dialogue layout;Directly addresses the medical scenario","The candidate successfully employed the dialogue format using speaker labels and alternating turns. The content covers the required symptoms and the doctor's advice for a Covid-19 test, though the flow is interrupted by a blank line in the dialogue. The score is heavily weighed down by very poor language mechanics, with frequent spelling mistakes and incorrect sentence structures, though the effort is authentic and not copied.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","40f7fc97b28cb2cdf60b8c49ce3bb6a778adc291733464d63ed7c3269f57981b","2026-09-17T04:05:56.412651+00:00"
"DIALOG_002","SE_06_Q1","SE_06_Q1_0002","13","Dialogue","10","gemma","","0","0","0","0","0","0","0","0","0","0","0","0","False","None","Band 0","False","True","Not attempted; verified blank.","Not attempted; verified blank.","Not attempted; verified blank.","Not attempted; verified blank.","","","","","","","","Not attempted; synthesised Band 0 record (no API call).","","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","360bf2fc0dfcd9fb88893ddcae412d017ef1571425abf8483c06305491367575","2026-09-17T04:02:11.806349+00:00"
"DIALOG_003","SE_06_Q1","SE_06_Q1_0003","13","Dialogue","10","gemma","ai_studio","0","3","3","1","1","8","3","3","1","1","8","8","False","None","Band 4","True","False","The candidate fully addresses all prompt requirements: the patient describes symptoms (fever, runny nose, body pain), the doctor provides a diagnosis (covid-19), and gives clear advice (exercise, medicines, and isolation).","The script adheres perfectly to dialogue conventions, using clear speaker labels, alternating turns, an opening greeting, and a closing farewell.","There are frequent spelling and grammatical errors. Spelling slips include 'suf-uring', 'testlis repord', 'yourse', and 'Alway'. Syntax is occasionally broken ('my felt I have pain', 'I visiting you again soon'). This warrants a low score in this category.","The turns respond to each other logically and do not follow a memorized guide template, although the phrasing is basic and occasionally awkward, which places it in the lower tier of this criterion.","Yes with fever I also have runny nose and my felt I have pain all over my body... It seems you have covid-19. You have to do some exercise and eat some medicines as I prescribed... You have to Isolate yourse from others.","Doctor: Hello! Mr. Sh Sahid, how are you Feeling today?
Sahid: Hi! I'm not feeling well today","I'm suf-uring from fever... my felt I have pain all over my body... I visiting you again soon... testlis repord... Isolate yourse","Right now Now!... those things fast","context_content_data;language_mechanics;originality_comparisons_paraphrase","Spelling inaccuracies (e.g., 'testlis repord');Verb tense and form errors (e.g., 'I visiting')","Excellent adherence to dialogue layout;Comprehensive coverage of the medical consultation scenario","The candidate has produced a structurally sound dialogue that covers all the required thematic points (symptoms, diagnosis, and advice). The script is a clear attempt in the student's own words. However, the total score is placed at the lower end of Band 4 because of a high density of minor mechanical errors in spelling and syntax.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","112343fbe24f0acd7260d67c84d5af5ab4c001e7bbd8372ea1233670437b142a","2026-09-17T05:42:50.189009+00:00"
"DIALOG_004","SE_06_Q1","SE_06_Q1_0004","13","Dialogue","10","gemma","","0","0","0","0","0","0","0","0","0","0","0","0","False","None","Band 0","False","True","Not attempted; verified blank.","Not attempted; verified blank.","Not attempted; verified blank.","Not attempted; verified blank.","","","","","","","","Not attempted; synthesised Band 0 record (no API call).","","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","360bf2fc0dfcd9fb88893ddcae412d017ef1571425abf8483c06305491367575","2026-09-17T04:07:26.880680+00:00"
"DIALOG_005","SE_06_Q1","SE_06_Q1_0005","13","Dialogue","10","gemma","ai_studio","0","2","2","1","1","6","2","2","1","1","6","6","False","None","Band 3","True","False","The candidate covers the core requirements of the prompt: mentions fever and Covid-19 symptoms and receives the doctor's advice to get tested at a center.","The layout is correct with alternating turns, an opening greeting, and a closing. However, the speaker's name is spelled inconsistently throughout the script (Shanid, shanhid, Shamid, Shahit), which slightly degrades the structural precision.","There are pervasive errors in spelling, syntax, and grammar. While the meaning is generally recoverable, the level of accuracy is below the expected Class VI standard.","The dialogue is an original attempt and not a memorised guide text, although the vocabulary is very limited and the phrasing is repetitive.","I have been suffering from some covid -19 symetoms for a week.. doctor : Th. You and go and family go to covid-19 center give a sample to thest.","Shanid : Hello doctor. ... shanhid : OK, doctor. ... Shamid : bay bay b.y ... Shahit : sey you ..","my fothaer and my sister suffering fever. ... You we test covid-19 ... I am filing very bad","I am filing very bad","context_content_data;structure_format_brevity;language_mechanics","Spelling errors (fothaer, symetoms, thest);Syntax/Sentence construction failures;Inconsistent proper noun spelling","Correct dialogue format;Addresses all parts of the prompt","The candidate successfully followed the dialogue format and addressed the required scenario (Covid-19 symptoms and doctor's visit). However, the script is marred by significant linguistic errors in spelling and grammar and a lack of consistency in spelling the protagonist's name. The score is placed at the lower end of Band 3 due to the broken syntax.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","5433eec306f864be2e7ad57380cb2562f4a862c6b36145c5a842dde40b375d26","2026-09-17T04:29:09.702534+00:00"
"DIALOG_006","SE_06_Q1","SE_06_Q1_0006","13","Dialogue","10","gemma","ai_studio","0","3","3","1","1","8","3","3","1","1","8","8","False","None","Band 4","True","False","The candidate fully addresses the prompt, including the duration of the illness, specific symptoms (cough, headache, runny nose), the doctor's diagnosis of Covid-19, and appropriate medical advice (test, medicine, rest).","The script adheres strictly to dialogue conventions: named speaker labels are used, turns alternate line-by-line, and the conversation is framed by an appropriate opening greeting and closing farewell.","There are pervasive spelling and grammatical errors. The word 'Doctor' is consistently misspelled as 'Docton', and there are significant slips in auxiliary verb usage and vocabulary (e.g., 'nest' for 'rest', 'indn introduction' for 'instructions'). However, the meaning is always recoverable.","The dialogue shows genuine interaction where turns respond to one another logically. It does not appear to be a memorized guide text; the awkward phrasing actually suggests an original, albeit struggling, attempt at expression.","I've got sick for a week... These are symptoms of covid-19... You should test covid-19 as soon as possible","Shahid: Hello, Docton. Good evening. ... Doctor: Fine. Goodbye. See you later,","Am I need to take any medicine? ... Take proper nest.","You can also take tea for your cough.","context_content_data;structure_format_brevity;language_mechanics","Repetitive spelling errors (e.g., 'Docton' for 'Doctor');Incorrect auxiliary verb usage (e.g., 'Am I need' instead of 'Do I need');Vocabulary substitution errors (e.g., 'nest' for 'rest')","Correct and consistent dialogue formatting;Complete coverage of all prompt requirements;Clear, logical progression of the consultation","The candidate has produced a well-structured dialogue that comprehensively covers all the requirements of the prompt. The layout is excellent, with clear turn-taking and appropriate greetings. The total score is placed at the lower end of Band 4 due to frequent linguistic errors, particularly the consistent misspelling of 'Doctor' and several grammatical slips. However, the communicative intent is successful, and the interaction is authentic for a Class VI student.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","30214680a40eb58431e4ed22cc93d3f8fc661221df0eadae57023646ef4c17d1","2026-09-17T04:31:30.823441+00:00"
"DIALOG_007","SE_06_Q1","SE_06_Q1_0007","13","Dialogue","10","gemma","ai_studio","0","3","3","1","2","9","3","3","1","2","9","9","False","None","Band 4","True","False","The candidate fully addresses the prompt, including specific Covid-19 symptoms (fever, headache, body pain), the doctor's inquiry about family history, and appropriate medical advice (testing, fluids, and monitoring breathing).","The response strictly follows the dialogue format: named speaker labels are used consistently, turns alternate on new lines, and it includes both an opening and closing greeting.","While the register is appropriate and the meaning is always clear, there are pervasive spelling errors ('Docton' for Doctor, 'imborn' for inform, 'bathen' for brother, 'headche') and grammatical slips in sentence construction.","The dialogue feels authentic and interactive; the turns respond logically to one another (e.g., asking about medicine and receiving a specific answer) rather than following a memorized template.","I have been suffering from fever for a week, have a bad headche and pains all over my body.","Shahid : Asssamulaikum, sir,
Docton : Walaikumassaham.","Please do you and your family covid-19 test as early as posible. And imborn me at phone.","Shahid : Any medicine, sir?
Docton : Yes, of course.","","Phonetic spelling errors (Docton, imborn, bathen);Syntax errors in imperative sentences","Excellent adherence to dialogue structure;Complete coverage of the required prompt scenarios;Natural flow of conversation","A very strong attempt in terms of content and structure. The candidate successfully simulated a medical consultation with appropriate turns and a logical progression from symptoms to advice. The score is slightly moderated due to frequent spelling mistakes (particularly the repeated misspelling of 'Doctor' as 'Docton' and 'inform' as 'imborn'), but these do not impede the overall communication for a Class VI level.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","6cef09b85350f3fa63e69aedcfc493180835eb222739bd4e05bab5765b5c94ef","2026-09-17T04:34:40.329019+00:00"
"DIALOG_008","SE_06_Q1","SE_06_Q1_0008","13","Dialogue","10","gemma","ai_studio","0","3","3","1","2","9","3","3","1","2","9","9","False","None","Band 4","True","False","The candidate fully addresses the prompt, including the specific duration (one week), a wide array of Covid-19 symptoms (loss of taste/smell, fever, body pain), and a comprehensive medical response including a swab test, quarantine, and dietary advice.","The script follows the correct dialogue layout with alternating speaker labels, a clear opening greeting, and a formal closing.","There are frequent spelling errors, most notably the consistent misspelling of 'Doctor' as 'Docton', as well as 'headach' and 'pleanty'. There are also pluralization errors ('this medicines', 'this rules'). However, the syntax remains clear and the question forms are appropriate for the level.","The dialogue is interactive and natural; the characters respond directly to one another's questions rather than delivering pre-memorized monologues.","I've been suffering from fever and, I also have a runny nose, headach and pain all over my body... it is good if you get swab tested for Covid-19.","Shahid: May I come in, sir?
Docton: Yes, you may.","Docton: ...take this medicines.
Shahid: Ok, sir I'll follow this rules.","Docton: How about taste?
Shahid: I don't have any taste or smell.","context_content_data;language_mechanics","Consistent spelling error ('Docton');Noun-determiner agreement ('this medicines/rules');Orthographic slips ('headach', 'pleanty')","Comprehensive coverage of medical symptoms;Perfect dialogue structural layout;Authentic, interactive turn-taking","A very strong response in terms of content and structure. The student captured all the required elements of the prompt and maintained a natural flow of conversation. The score is slightly reduced due to recurring spelling mistakes and basic grammatical errors regarding plurals, but the overall communication is highly effective for a Class VI candidate.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7f357f8cd5fa61577d62bc093e5c1d6fabb04ce995f882d75ae739bf3e8cb2fa","2026-09-17T04:32:45.711623+00:00"
"DIALOG_009","SE_06_Q1","SE_06_Q1_0009","13","Dialogue","10","gemma","ai_studio","0","3","3","1","1","8","3","3","1","1","8","8","False","None","Band 4","True","False","The candidate comprehensively addresses all parts of the prompt: the symptoms (fever, cough, runny nose, headache), the duration (one week), the doctor's diagnosis (Covid-19 symptoms), and the medical advice (test, quarantine, diet).","The dialogue follows the correct structural conventions for the task: distinct speaker labels, alternating turns, an appropriate opening greeting, and a clear closing.","There are pervasive spelling errors (e.g., 'Docton', 'caugh', 'cintoms', 'protin') and significant grammatical failures in sentence construction, although the meaning remains intelligible.","The student avoids memorized guide templates and creates an authentic interaction, but the phrasing is often awkward and lacks natural flow, reducing the overall quality of the expression.","I am suffering from fever, I also have a dry caugh, a runny nose, I have a bad headache and pain all over my body... for a week.","sahid: Good evening, sir. May I come in?
Docton: Good evening. Yes, you may. please have a seat.","How muck days did you suffering form?","I don't even think like taking any for any food.","context_content_data","Orthographic errors (spelling);Tense and syntax errors in question formation","Excellent adherence to structural format;Thorough coverage of prompt requirements","The student has produced a very strong response in terms of content and structure, successfully covering all the medical symptoms and advice required by the prompt. The dialogue layout is flawless. However, the score is tempered by frequent spelling mistakes (e.g., 'Docton') and awkward phrasing. It is awarded the lowest value of Band 4 because while the communication is effective, the linguistic mechanics show multiple significant errors.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","82c462472aa4d347bdc8da99023213dffbec767de4c1e7bf768b030cd78cc8ea","2026-09-17T04:43:49.968248+00:00"
"DIALOG_010","SE_06_Q1","SE_06_Q1_0010","13","Dialogue","10","gemma","ai_studio","0","3","3","1","2","9","3","3","1","2","9","9","False","None","Band 4","True","False","The candidate fully addresses the prompt, including the duration of illness, specific Covid-19 symptoms (fever, headache, runny nose, body pain), the doctor's diagnostic questions, the recommendation for a swab test, and specific medical advice (quarantine and medicine).","The response uses a perfect dialogue layout with clear speaker labels, alternating turns, a proper opening greeting, and a closing exchange.","There are systemic and frequent spelling errors (e.g., 'sin' for 'sir', 'Docton' for 'Doctor', 'feven' for 'fever'). While these do not impede meaning for a Class VI level, the density of errors prevents a full score.","The dialogue is genuinely interactive; the doctor's questions are followed by appropriate responses from the patient, avoiding the 'two monologues' pitfall.","I am Suffering from feven, I have a bad headeache and runny nose. I have pain all over my body.","Shahid: May , I come in sin?
Docton: Yes. You may.","May , I come in sin?","Docton: What's your name?
Shahid: I'm shahid.","","Systemic phonetic spelling errors (e.g., 'sin' for 'sir', 'Docton' for 'Doctor')","Excellent adherence to dialogue formatting;Comprehensive coverage of the medical scenario and advice","The candidate demonstrated a strong understanding of the task, providing a logically sequenced and comprehensive dialogue that covers all required symptoms and medical advice. The structure is flawless. The only significant weakness is the high frequency of basic spelling mistakes, though these did not interfere with the overall communication.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","cf0cb7ac54606bf910418458887864476630e72149fb813800b586c739cb516c","2026-09-17T04:47:20.957507+00:00"
