"run_id","task_id","exam_set","model","provider","model_id","thinking_level","run_index","call_index","input_tokens","output_tokens","thoughts_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"DIALOG_001__gemma__run0__call0","DIALOG_001","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5995","2562","1776","0.001368","224592","1","200","2026-09-17T04:05:56.412651+00:00"
"DIALOG_003__gemma__run0__call0","DIALOG_003","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6123","3587","2749","0.001688","243907","2","200","2026-09-17T05:42:50.189009+00:00"
"DIALOG_005__gemma__run0__call0","DIALOG_005","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6084","2966","2176","0.001498","1035217","4","200","2026-09-17T04:29:09.702534+00:00"
"DIALOG_006__gemma__run0__call0","DIALOG_006","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6118","3629","2768","0.0017","735125","2","200","2026-09-17T04:31:30.823441+00:00"
"DIALOG_007__gemma__run0__call0","DIALOG_007","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6178","2045","1244","0.001231","691858","4","200","2026-09-17T04:34:40.329019+00:00"
"DIALOG_008__gemma__run0__call0","DIALOG_008","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6243","1827","1010","0.001172","291389","1","200","2026-09-17T04:32:45.711623+00:00"
"DIALOG_009__gemma__run0__call0","DIALOG_009","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6242","4295","3508","0.001913","677812","2","200","2026-09-17T04:43:49.968248+00:00"
"DIALOG_010__gemma__run0__call0","DIALOG_010","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6233","2536","1769","0.001384","757687","1","200","2026-09-17T04:47:20.957507+00:00"
"DIALOG_011__gemma__run0__call0","DIALOG_011","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6047","1689","951","0.001111","156641","1","200","2026-09-17T04:42:59.847303+00:00"
"DIALOG_013__gemma__run0__call0","DIALOG_013","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6136","2435","1588","0.001344","529828","1","200","2026-09-17T04:55:21.952164+00:00"
"DIALOG_014__gemma__run0__call0","DIALOG_014","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6129","2539","1829","0.001375","201266","1","200","2026-09-17T04:55:04.042423+00:00"
"DIALOG_015__gemma__run0__call0","DIALOG_015","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6084","2262","1478","0.001287","1140796","2","200","2026-09-17T05:14:50.710684+00:00"
"DIALOG_016__gemma__run0__call0","DIALOG_016","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6098","2004","1249","0.001211","1843625","8","200","2026-09-17T05:28:43.353952+00:00"
"DIALOG_017__gemma__run0__call0","DIALOG_017","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6227","2648","1845","0.001417","795000","4","200","2026-09-17T05:15:58.667693+00:00"
"DIALOG_018__gemma__run0__call0","DIALOG_018","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6050","2560","1802","0.001373","387858","2","200","2026-09-17T05:14:56.716541+00:00"
"DIALOG_019__gemma__run0__call0","DIALOG_019","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6062","2174","1385","0.001258","468203","1","200","2026-09-17T05:22:39.063828+00:00"
"DIALOG_020__gemma__run0__call0","DIALOG_020","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6071","2154","1411","0.001253","561672","3","200","2026-09-17T05:27:42.690025+00:00"
"DIALOG_021__gemma__run0__call0","DIALOG_021","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5938","3515","2764","0.001648","173280","1","200","2026-09-17T05:26:14.780510+00:00"
"DIALOG_022__gemma__run0__call0","DIALOG_022","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6086","2291","1535","0.001296","499108","4","200","2026-09-17T05:35:52.034188+00:00"
"GAP_001__gemma__run0__call0","GAP_001","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6309","1754","1115","0.001157","449296","4","200","2026-09-17T04:09:41.107673+00:00"
"GAP_002__gemma__run0__call0","GAP_002","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6330","2190","1523","0.00129","1045921","5","200","2026-09-17T04:19:37.737275+00:00"
"GAP_003__gemma__run0__call0","GAP_003","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6319","1882","1169","0.001197","139782","1","200","2026-09-17T04:04:31.613541+00:00"
"GAP_004__gemma__run0__call0","GAP_004","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6363","1651","1067","0.001132","344421","1","200","2026-09-17T04:10:29.596360+00:00"
"GAP_005__gemma__run0__call0","GAP_005","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6321","1604","1006","0.001113","841140","5","200","2026-09-17T04:22:29.405360+00:00"
"GAP_006__gemma__run0__call0","GAP_006","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6323","1805","1135","0.001174","1433078","6","200","2026-09-17T04:35:52.994078+00:00"
"GAP_007__gemma__run0__call0","GAP_007","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6320","1947","1306","0.001216","237233","2","200","2026-09-17T05:42:43.528620+00:00"
"GAP_008__gemma__run0__call0","GAP_008","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6320","1332","708","0.001032","1008890","3","200","2026-09-17T04:40:46.516575+00:00"
"GAP_009__gemma__run0__call0","GAP_009","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6323","1445","796","0.001066","234421","1","200","2026-09-17T04:32:35.614483+00:00"
"GAP_010__gemma__run0__call0","GAP_010","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6320","1383","748","0.001047","286469","1","200","2026-09-17T04:37:30.483715+00:00"
"GAP_011__gemma__run0__call0","GAP_011","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6321","1645","995","0.001126","337562","1","200","2026-09-17T04:41:30.557449+00:00"
"GAP_012__gemma__run0__call0","GAP_012","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6324","2277","1575","0.001315","973312","4","200","2026-09-17T04:57:43.891345+00:00"
"GAP_013__gemma__run0__call0","GAP_013","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6320","1988","1350","0.001228","221921","1","200","2026-09-17T04:47:31.890574+00:00"
"GAP_014__gemma__run0__call0","GAP_014","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6317","1770","1092","0.001163","1266969","3","200","2026-09-17T05:08:37.741389+00:00"
"GAP_015__gemma__run0__call0","GAP_015","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6322","1750","1136","0.001157","912343","3","200","2026-09-17T05:09:01.477850+00:00"
"GAP_016__gemma__run0__call0","GAP_016","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6320","1910","1256","0.001205","106500","1","200","2026-09-17T04:57:37.047437+00:00"
"GAP_017__gemma__run0__call0","GAP_017","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6324","2104","1423","0.001264","1415578","5","200","2026-09-17T05:22:43.117002+00:00"
"GAP_018__gemma__run0__call0","GAP_018","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6321","2003","1360","0.001233","563265","2","200","2026-09-17T05:14:02.783386+00:00"
"GAP_019__gemma__run0__call0","GAP_019","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6330","1320","656","0.001029","284780","1","200","2026-09-17T05:13:46.274542+00:00"
"GAP_020__gemma__run0__call0","GAP_020","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6349","2049","1434","0.00125","952358","2","200","2026-09-17T05:30:45.478264+00:00"
"GAP_021__gemma__run0__call0","GAP_021","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6305","1501","932","0.001081","258750","2","200","2026-09-17T05:24:28.770933+00:00"
"GAP_022__gemma__run0__call0","GAP_022","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6318","1258","617","0.001009","812375","4","200","2026-09-17T05:37:12.347752+00:00"
"MCQ_001__gemma__run0__call0","MCQ_001","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6679","1139","536","0.00101","59812","1","200","2026-09-17T04:03:11.612258+00:00"
"MCQ_002__gemma__run0__call0","MCQ_002","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6689","2143","1463","0.001312","1130233","6","200","2026-09-17T04:21:02.040411+00:00"
"MCQ_003__gemma__run0__call0","MCQ_003","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6683","1609","1045","0.001151","127469","1","200","2026-09-17T04:04:19.299341+00:00"
"MCQ_004__gemma__run0__call0","MCQ_004","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6695","1467","824","0.00111","406717","3","200","2026-09-17T04:11:18.326984+00:00"
"MCQ_005__gemma__run0__call0","MCQ_005","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6680","1572","1001","0.00114","477500","2","200","2026-09-17T04:15:24.387584+00:00"
"MCQ_006__gemma__run0__call0","MCQ_006","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6694","2010","1379","0.001272","909515","5","200","2026-09-17T04:27:07.891039+00:00"
"MCQ_007__gemma__run0__call0","MCQ_007","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6682","1695","1135","0.001177","241983","1","200","2026-09-17T04:23:30.693379+00:00"
"MCQ_008__gemma__run0__call0","MCQ_008","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6675","1248","696","0.001042","667562","3","200","2026-09-17T04:34:38.258502+00:00"
"MCQ_009__gemma__run0__call0","MCQ_009","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6686","1592","953","0.001146","819453","3","200","2026-09-17T04:41:43.484647+00:00"
"MCQ_010__gemma__run0__call0","MCQ_010","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6685","2226","1614","0.001336","491671","2","200","2026-09-17T04:40:47.286850+00:00"
"MCQ_011__gemma__run0__call0","MCQ_011","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6686","1615","969","0.001153","464108","2","200","2026-09-17T04:42:42.583875+00:00"
"MCQ_012__gemma__run0__call0","MCQ_012","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6676","1552","980","0.001133","343890","2","200","2026-09-17T04:46:30.416975+00:00"
"MCQ_013__gemma__run0__call0","MCQ_013","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6668","1868","1312","0.001227","1185390","3","200","2026-09-17T05:03:22.895382+00:00"
"MCQ_014__gemma__run0__call0","MCQ_014","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6691","1562","923","0.001138","565000","4","200","2026-09-17T04:56:44.431215+00:00"
"MCQ_015__gemma__run0__call0","MCQ_015","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6684","1639","1020","0.00116","188546","1","200","2026-09-17T04:55:30.319504+00:00"
"MCQ_016__gemma__run0__call0","MCQ_016","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6687","1457","834","0.001106","694796","4","200","2026-09-17T05:07:25.157997+00:00"
"MCQ_017__gemma__run0__call0","MCQ_017","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6683","1443","843","0.001101","349844","5","200","2026-09-17T05:44:36.192081+00:00"
"MCQ_018__gemma__run0__call0","MCQ_018","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6682","1837","1212","0.001219","1162000","4","200","2026-09-17T05:22:05.777477+00:00"
"MCQ_019__gemma__run0__call0","MCQ_019","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6680","1258","702","0.001045","880671","4","200","2026-09-17T05:23:17.367161+00:00"
"MCQ_020__gemma__run0__call0","MCQ_020","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6698","1443","861","0.001103","932953","3","200","2026-09-17T05:30:25.059737+00:00"
"MCQ_021__gemma__run0__call0","MCQ_021","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6691","1484","930","0.001114","244000","1","200","2026-09-17T05:23:21.991297+00:00"
"MCQ_022__gemma__run0__call0","MCQ_022","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6683","1697","1155","0.001177","494515","2","200","2026-09-17T05:31:36.511789+00:00"
"PARA_001__gemma__run0__call0","PARA_001","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5939","2299","1552","0.001284","773625","5","200","2026-09-17T04:15:05.441967+00:00"
"PARA_002__gemma__run0__call0","PARA_002","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5961","1768","1020","0.001126","1232139","4","200","2026-09-17T04:22:43.948244+00:00"
"PARA_003__gemma__run0__call0","PARA_003","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6078","2600","1836","0.001388","378875","6","200","2026-09-17T05:45:05.157209+00:00"
"PARA_005__gemma__run0__call0","PARA_005","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6023","2273","1466","0.001284","318078","3","200","2026-09-17T05:44:04.361250+00:00"
"PARA_006__gemma__run0__call0","PARA_006","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6100","1840","1080","0.001162","249922","2","200","2026-09-17T04:22:33.256343+00:00"
"PARA_007__gemma__run0__call0","PARA_007","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6061","2838","2016","0.001458","306702","2","200","2026-09-17T04:27:54.199079+00:00"
"PARA_008__gemma__run0__call0","PARA_008","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6199","1749","957","0.001145","424250","1","200","2026-09-17T04:34:58.459359+00:00"
"PARA_009__gemma__run0__call0","PARA_009","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6173","2875","2031","0.00148","464469","2","200","2026-09-17T04:40:04.628416+00:00"
"PARA_010__gemma__run0__call0","PARA_010","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6151","2988","2197","0.001512","2410516","7","200","2026-09-17T05:14:50.852182+00:00"
"PARA_011__gemma__run0__call0","PARA_011","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5980","2135","1437","0.001239","945905","4","200","2026-09-17T04:55:50.529022+00:00"
"PARA_012__gemma__run0__call0","PARA_012","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6113","3010","2208","0.001514","932641","4","200","2026-09-17T04:59:07.549164+00:00"
"PARA_013__gemma__run0__call0","PARA_013","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6198","2223","1445","0.001287","312343","1","200","2026-09-17T04:51:42.767503+00:00"
"PARA_014__gemma__run0__call0","PARA_014","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6046","2447","1652","0.001339","218610","2","200","2026-09-17T04:55:11.553288+00:00"
"PARA_015__gemma__run0__call0","PARA_015","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6101","2358","1561","0.001318","413937","2","200","2026-09-17T05:02:43.670199+00:00"
"PARA_017__gemma__run0__call0","PARA_017","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6131","3326","2522","0.001611","738342","1","200","2026-09-17T05:14:50.786490+00:00"
"PARA_018__gemma__run0__call0","PARA_018","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6014","2066","1317","0.001221","413078","1","200","2026-09-17T05:14:53.465295+00:00"
"PARA_019__gemma__run0__call0","PARA_019","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6033","2984","2217","0.001499","546093","1","200","2026-09-17T05:23:56.895883+00:00"
"PARA_020__gemma__run0__call0","PARA_020","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6044","2281","1466","0.001289","468625","2","200","2026-09-17T05:25:30.544450+00:00"
"PARA_021__gemma__run0__call0","PARA_021","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6017","2580","1861","0.001376","158875","1","200","2026-09-17T05:25:56.248847+00:00"
"PARA_022__gemma__run0__call0","PARA_022","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6028","2174","1401","0.001255","457500","3","200","2026-09-17T05:34:56.150946+00:00"
"POEM_001__gemma__run0__call0","POEM_001","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6416","2214","1502","0.001306","1323139","6","200","2026-09-17T04:24:14.966717+00:00"
"POEM_002__gemma__run0__call0","POEM_002","SE_06_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6437","2207","1453","0.001306","586546","1","200","2026-09-17T04:11:58.360360+00:00"
