"task_id","exam_set","script_id","question_no","question_type","max_mark","model","provider","n_runs","mean_total_score","total_score_min","total_score_max","total_score_range","total_score_std","mean_context_content_data","mean_structure_format_brevity","mean_language_mechanics","mean_originality_comparisons_paraphrase","mean_raw_total","performance_band_of_mean","cap_applied_rate","cap_reason_modal","is_attempted","synthesised","evidence_not_found_rate","model_version","thinking_level","rubric_hash","prompt_hash"
"DIALOG_001","SE_07_Q1","SE_07_Q1_0000","13","Dialogue","10","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","0.5","1.0","0.0","0.5","2.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","2376dfc28b4747e5c827e00d90dc6e68163e946de861fdee35282c469e009151"
"DIALOG_002","SE_07_Q1","SE_07_Q1_0001","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","4e8d5ccea34dc3494cd4a4187b9ec30a09e8ed140809bf5e3aab5a7b971754c0"
"DIALOG_003","SE_07_Q1","SE_07_Q1_0002","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","22aaaa955f889216b4265e568c9e744eac08a51b73d85701bacb0250b3b386dd"
"DIALOG_004","SE_07_Q1","SE_07_Q1_0003","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","d18d9f52b1dbf87425311df128e1c72014c4faceacc3757513ee135223f94e26"
"DIALOG_005","SE_07_Q1","SE_07_Q1_0004","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","431af2c3bfba9ab9ca3f47639ba1f8dc156381fc6eaf8bb29b2981d617e0da24"
"DIALOG_006","SE_07_Q1","SE_07_Q1_0005","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","cf29da7124b04244c06dfc86f29169e14eaa42745987c3d0e687389b12ca081f"
"DIALOG_007","SE_07_Q1","SE_07_Q1_0006","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","0933b7ff34db9903b592c20a5491a65d1765836941855fa7ffdffd4e3bcf65c4"
"DIALOG_008","SE_07_Q1","SE_07_Q1_0007","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","2.0","3.0","1.0","2.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","9ed51be52a3e10204382339bf414ec688c8c08d0a9ad39b3f1f39ea2f5bb117d"
"DIALOG_009","SE_07_Q1","SE_07_Q1_0008","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","2effbf2c25106f636f1808c1ef5ffa5a579908da224f2f445ab95cff47b981a8"
"DIALOG_010","SE_07_Q1","SE_07_Q1_0009","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","357dbb7b5f9a265b39fcc432d71817389ba8a3819b5ed9dbb4724ff1d7242c2e"
"DIALOG_011","SE_07_Q1","SE_07_Q1_0010","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","57204e63134b4031cbde8b0d0b90c07d13b4517cca58650dbd4e083493bdb189"
"DIALOG_012","SE_07_Q1","SE_07_Q1_0011","13","Dialogue","10","gemma","ai_studio","1","6.5","6.5","6.5","0.0","0.0","2.0","3.0","0.5","1.0","6.5","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","4638b5b262e154f3059ac6e1b886788e3c831ba06362bd2ac36bdfefba223798"
"DIALOG_013","SE_07_Q1","SE_07_Q1_0012","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","81d101c2bf514dc332356fe687aeaa72045661ea436d95ee264256ace0bb3c2b"
"DIALOG_014","SE_07_Q1","SE_07_Q1_0013","13","Dialogue","10","gemma","ai_studio","1","6.5","6.5","6.5","0.0","0.0","2.0","3.0","0.5","1.0","6.5","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","f38f411105b5688dec0e4c26dbbc997ca7537f076140e73be57aa2d24d3f70e4"
"DIALOG_015","SE_07_Q1","SE_07_Q1_0014","13","Dialogue","10","gemma","ai_studio","1","7.0","7.0","7.0","0.0","0.0","2.0","3.0","1.0","1.0","7.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","f8e9a4a8d34c1387c9e136913402e00ad52426eae4767df2b976cfeb0dac28be"
"DIALOG_016","SE_07_Q1","SE_07_Q1_0015","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","afdf7f3694c5eb1478154a467d28ac487741512a1913c32be3cc4c8f2a1269ea"
"DIALOG_017","SE_07_Q1","SE_07_Q1_0016","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","2.0","3.0","1.0","2.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","87e5ecd33fedc88d0abfe351d9b2d4af75f7e72452b827d2c3fa57201c31186d"
"DIALOG_018","SE_07_Q1","SE_07_Q1_0017","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","f1a35213e86c20b057b82f873a480a786c643017715df28cdc8b5165fca29e20"
"DIALOG_019","SE_07_Q1","SE_07_Q1_0018","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","6a706018d59fa374763cd775b906815faf0ff98c2667625bdce44fb6884c5ec6"
"DIALOG_020","SE_07_Q1","SE_07_Q1_0019","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","26c7c6c1599329e5ce8031886e7e4e33fd5e1e5f1de3afe1d838656f909c41b4"
"DIALOG_021","SE_07_Q1","SE_07_Q1_0020","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","854bb0c31e180f76d51e2b7f601c7342e82b379a63e24dc795d2296626761ccc","eff41fd16bab95038d047ebd5af54cd1ef4a58576f32582a62ae5cc0e1fd043e"
